source_record_id,latitude,longitude,state,district,event_year,landslide_type,material_type,triggering,geology,source,source_dataset_version,region,inventory_id,validation_status,label,negative_basis,elevation_m,slope_deg,aspect_sin,aspect_cos,profile_curvature,relief_local_m,block
22865.0,18.283206,82.943983,Andhra Pradesh,Visakhapatanam,0.0,Flow,Debris,Rainfall. The road was cut through the lower part of the slope. On Supersaturating the rock falls towards free side.,Khondalite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4488,gsi_inventory_record,1,,1025.0,18.96,0.46491,-0.88536,-0.00141691,87.0,1658_365
22704.0,18.268203,82.997358,Andhra Pradesh,Visakhapatanam,0.0,Fall,Rock,Rainfall and gravitational movement,Khondalite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4489,gsi_inventory_record,1,,1145.0,8.0,-0.31623,0.94868,-0.00145484,40.0,1659_365
22705.0,18.271922,82.997775,Andhra Pradesh,Visakhapatanam,0.0,Slide,Debris,Rainfall and slope failure,Khondalite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4490,gsi_inventory_record,1,,1127.0,7.609,-0.99805,-0.06238,-0.00426675,35.0,1659_365
22686.0,18.277786,82.994925,Andhra Pradesh,Visakhapatanam,0.0,Fall,Rock,High Rainfall.,Khondalite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4491,gsi_inventory_record,1,,1146.0,18.51,0.89192,0.45218,0.00300418,99.0,1659_365
22911.0,18.278067,82.993814,Andhra Pradesh,Visakhapatanam,0.0,Slide,Debris,High Rainfall. The rock mass is highly dissected by discontinuous resulting into formation of wedge and later rock slide occurred.,Khondalite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4492,gsi_inventory_record,1,,1139.0,25.994,-0.44151,0.89726,-0.00070432,126.0,1659_365
22494.0,18.277817,82.993156,Andhra Pradesh,Visakhapatanam,0.0,Slide,Debris,Unplanned cutting of slope and super saturation during rainfall,Khondalite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4493,gsi_inventory_record,1,,1129.0,31.283,-0.49145,0.8709,2.548e-05,147.0,1659_365
22707.0,18.277019,82.991542,Andhra Pradesh,Visakhapatanam,0.0,Slide,Debris,Unfavorable orientation of joint sets and Rainfall,Khondalite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4494,gsi_inventory_record,1,,1150.0,29.347,-0.1828,0.98315,0.00133784,121.0,1659_365
22492.0,18.276489,82.990033,Andhra Pradesh,Visakhapatanam,0.0,Slide,Debris,Extensive cut slope and escarpment face,Khondalite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4495,gsi_inventory_record,1,,1145.0,16.053,-0.22204,0.97504,-0.00178384,94.0,1659_365
22495.0,18.280111,82.990472,Andhra Pradesh,Visakhapatanam,0.0,Fall,Rock,Unplanned cutting of slope for road construction.,Khondalite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4496,gsi_inventory_record,1,,1147.0,25.175,0.94261,0.3339,0.00361311,120.0,1659_365
22727.0,18.281836,83.006239,Andhra Pradesh,Visakhapatanam,0.0,Slide,Debris,Rainfall,Khondalite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_ghats,GSI-4497,gsi_inventory_record,1,,791.0,10.277,0.37535,0.92688,-0.00188558,68.0,1660_365
30702.0,27.103444,93.638722,Arunachal Pradesh,Papum Pare,0.0,Slide,Debris,Rainfall and anthropogenic activity,Loose unconsolidated material,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-24113,gsi_inventory_record,1,,394.0,23.538,0.37304,0.92782,-0.00195563,95.0,1872_542
30577.0,27.363417,92.24375,Arunachal Pradesh,West Kameng,0.0,Slide,Debris,Rainfall,Overburden covered slope,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-24204,gsi_inventory_record,1,,1608.0,31.618,-0.88663,-0.46249,-0.00105862,134.0,1844_547
30260.0,28.784231,95.906188,Arunachal Pradesh,Dibang Valley,0.0,Slide,Debris,Rainfall,Gneiss,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21309,gsi_inventory_record,1,,1257.0,21.163,0.11122,-0.9938,-0.00263946,75.0,1918_575
30287.0,28.940482,95.82044,Arunachal Pradesh,Dibang Valley,0.0,Slide,Debris,Rainfall,Upper Shiwalik,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21284,gsi_inventory_record,1,,1427.0,23.567,-0.99341,0.11462,-0.00492698,91.0,1916_578
30016.0,28.793279,94.848477,Arunachal Pradesh,Upper Siang,0.0,Slide,Rock-cum-Debris,"Rainfall, Anthropogenic",Massive Quartzite,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-20955,gsi_inventory_record,1,,1062.0,40.15,0.9994,0.03458,-0.00357924,183.0,1896_575
30589.0,27.204139,92.529278,Arunachal Pradesh,West Kameng,0.0,Fall,Rock,Rainfall,Augen gneiss and biotite gneiss,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-24196,gsi_inventory_record,1,,1206.0,34.933,-0.95448,-0.29827,-0.0052782,142.0,1850_544
30152.0,28.099858,95.282975,Arunachal Pradesh,East Siang,0.0,Slide,Debris,Rainfall,Interbedded carbonaceous shale and sandstone,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21023,gsi_inventory_record,1,,209.0,20.902,0.65825,0.7528,-0.00096105,84.0,1905_561
30077.0,28.402417,95.245944,Arunachal Pradesh,Upper Siang,0.0,slide,Debris,Rainfall,Rotung volcanics,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21080,gsi_inventory_record,1,,595.0,24.098,0.20804,0.97812,-0.00291112,85.0,1904_568
30200.0,28.148417,95.277964,Arunachal Pradesh,East Siang,0.0,Slide,Debris,Rainfall,Older alluvium,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21054,gsi_inventory_record,1,,199.0,22.838,-0.44193,-0.89705,0.00140444,107.0,1905_562
30067.0,28.192444,94.984917,Arunachal Pradesh,Siang,0.0,Slide,Debris,Rainfall,Shale – Rotung volcanics,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21010,gsi_inventory_record,1,,1038.0,27.647,0.99957,-0.02917,0.00601233,100.0,1899_563
30251.0,28.625048,95.857251,Arunachal Pradesh,Dibang Valley,0.0,Slide,Earth,Rainfall,Granite gneiss.,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21250,gsi_inventory_record,1,,821.0,29.098,-0.9982,-0.05989,0.0005417,111.0,1917_572
30121.0,28.232472,94.914889,Arunachal Pradesh,West Siang,0.0,Slide,Soil,Rainfall,Quartzite of Boleng Group,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21001,gsi_inventory_record,1,,339.0,21.478,0.96717,0.25415,-0.00313127,96.0,1898_564
30551.0,27.163084,95.754775,Arunachal Pradesh,Changlang,0.0,Slide,Debris,Rainfall & Extensive slope cut,Splintery Shale-mudstone-siltstone intercalation of Disang Group,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21502,gsi_inventory_record,1,,557.0,19.111,0.97804,-0.20843,-0.00124263,87.0,1915_543
30296.0,28.207796,95.807742,Arunachal Pradesh,Lower Dibang Valley,0.0,Slide,Rock,Rainfall,Granitic Gneiss of Bomdila Group,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21120,gsi_inventory_record,1,,908.0,29.729,-0.26024,-0.96555,-0.00228426,133.0,1916_564
39.0,27.91897,96.33108,Arunachal Pradesh,Lohit,0.0,Slide,Rock,Heavy rainfall,Quartzo-felsphatic gneiss. Rockmass infested by vein quartz and feldsphathic veination,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21434,gsi_inventory_record,1,,1287.0,31.833,-0.60179,-0.79866,0.00072514,164.0,1926_558
30522.0,27.288125,96.075898,Arunachal Pradesh,Changlang,0.0,Slide,Debris,Rainfall,"Interclation of shale and carbonaceous shale, Barail Group",GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21469,gsi_inventory_record,1,,310.0,15.438,-0.13579,-0.99074,0.00036798,52.0,1921_545
30755.0,27.241056,93.749306,Arunachal Pradesh,Papum Pare,0.0,Slide,Debris,Rainfall and anthropogenic activity,"Sandstone, shale and siltstone",GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-23966,gsi_inventory_record,1,,395.0,28.149,-0.47503,-0.87997,0.00336441,138.0,1874_544
30563.0,27.576806,91.993444,Arunachal Pradesh,Tawang,0.0,Slide,Debris,Rainfall,Overburden covered slope,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-24217,gsi_inventory_record,1,,2637.0,23.691,0.27221,0.96224,-0.00033493,93.0,1839_551
49.0,28.09311,96.53622,Arunachal Pradesh,Anjaw,0.0,Slide,Rock,Heavy rainfall,Profusely jointed mafic rocks (amphibolite),GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21409,gsi_inventory_record,1,,592.0,29.237,-0.94044,0.33995,-0.00463186,122.0,1930_561
30385.0,28.308841,95.973238,Arunachal Pradesh,Lower Dibang Valley,0.0,Slide,Debris,Rainfall,Chlorite schist of Dibang Group,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21332,gsi_inventory_record,1,,901.0,29.466,-0.39333,0.9194,-0.00167883,133.0,1919_566
